repo,cbo_mean_mean,cbo_mean_median,cbo_mean_std,cbo_sum_mean,cbo_sum_median,cbo_sum_std,wmc_mean_mean,wmc_mean_median,wmc_mean_std,wmc_sum_mean,wmc_sum_median,wmc_sum_std,loc_sum_mean,loc_sum_median,loc_sum_std,loc_mean_mean,loc_mean_median,loc_mean_std,fanout_sum_mean,fanout_sum_median,fanout_sum_std,fanin_sum_mean,fanin_sum_median,fanin_sum_std,loopQty_sum_mean,loopQty_sum_median,loopQty_sum_std,comparisonsQty_sum_mean,comparisonsQty_sum_median,comparisonsQty_sum_std,methodsInvokedQty_sum_mean,methodsInvokedQty_sum_median,methodsInvokedQty_sum_std,methodsInvokedLocalQty_sum_mean,methodsInvokedLocalQty_sum_median,methodsInvokedLocalQty_sum_std,methodsInvokedIndirectLocalQty_sum_mean,methodsInvokedIndirectLocalQty_sum_median,methodsInvokedIndirectLocalQty_sum_std,hasJavaDoc_ratio_mean,hasJavaDoc_ratio_median,hasJavaDoc_ratio_std,stars,releases_count,idade
00-Evan_shattered-pixel-dungeon,10.559342653352708,10.559342653352708,1.6997149493726413,83147.5,83147.5,82122.67446022444,7.900136192320649,7.900136192320649,7.095676713342828,34616.0,34616.0,4.242640687119285,140586.5,140586.5,25764.849786094233,34.72349268585862,34.72349268585862,34.693634655717915,72752.0,72752.0,79357.17983900386,10395.5,10395.5,2765.4946212205873,2462.0,2462.0,0.0,8194.5,8194.5,0.7071067811865476,17986.5,17986.5,25436.752239623675,1320.5,1320.5,1867.469009113672,1476.0,1476.0,2087.3792180626883,0.0001665695011243,0.0001665695011243,0.00023556484756770556,,,
201206030_novel,3.342251707270966,3.342251707270966,3.457578219654096,960.5,960.5,294.8635277547903,2.939814267822964,2.939814267822964,2.542486569760359,957.0,957.0,0.0,3917.5,3917.5,886.004796826744,13.211128571090999,13.211128571090999,13.129446896663588,650.5,650.5,341.5325753131024,310.0,310.0,46.66904755831214,18.0,18.0,0.0,22.0,22.0,0.0,686.5,686.5,970.8576105691297,11.5,11.5,16.263455967290593,9.0,9.0,12.727922061357855,0.09367541766109785,0.09367541766109785,0.13247704611728872,,,
527515025_springBoot,3.553259871441689,3.553259871441689,4.103037419942877,1207.0,1207.0,702.8641404994282,3.0637052341597797,3.0637052341597797,2.641910666623292,1302.0,1302.0,0.0,5695.5,5695.5,784.1814203358812,14.197543617998164,14.197543617998164,13.402075978315555,885.0,885.0,729.734198184517,322.0,322.0,26.870057685088806,37.0,37.0,0.0,65.0,65.0,0.0,682.5,682.5,965.2007563196373,40.0,40.0,56.568542494923804,46.5,46.5,65.76093065034893,0.0596877869605142,0.0596877869605142,0.08441127782759517,,,
648540858_wvp-GB28181-pro,6.564096293827517,6.564096293827517,6.72646772600073,8523.0,8523.0,62.22539674441618,8.32491771401751,8.32491771401751,8.560120710453909,10768.0,10768.0,1.4142135623730951,44428.0,44428.0,3833.9329675934605,35.869413279744734,35.869413279744734,38.277813186254285,5293.0,5293.0,1153.9982668964456,3230.0,3230.0,1216.2236636408618,413.0,413.0,0.0,2680.0,2680.0,1.4142135623730951,9071.0,9071.0,12828.331224286345,426.0,426.0,602.4549775709385,408.0,408.0,576.9991334482228,0.05317577548005905,0.05317577548005905,0.07520190287360619,,,
Alluxio_alluxio,5.658248808093262,5.658248808093262,4.7898651465589435,47853.0,47853.0,16161.63259079973,6.733288154573487,6.733288154573487,6.977319043996812,46976.0,46976.0,9.899494936611665,230697.5,230697.5,30761.266301958378,35.34734622714303,35.34734622714303,38.66707700289751,30989.0,30989.0,4774.384986571569,16864.0,16864.0,11387.247604228161,3734.0,3734.0,0.0,5631.0,5631.0,2.8284271247461903,52500.0,52500.0,74246.21202458748,3750.5,3750.5,5304.007965680293,3999.0,3999.0,5655.440035930007,0.22708812260536396,0.22708812260536396,0.32115110284234993,,,
Angel-ML_angel,6.1451842923853714,6.1451842923853714,5.345206397890699,28124.0,28124.0,13077.23281126401,14.726243149414355,14.726243149414355,16.35021635572146,49999.0,49999.0,0.0,197711.0,197711.0,10401.540751254113,59.93267825700095,59.93267825700095,67.71721922713566,16557.5,16557.5,3884.1375490577057,11566.5,11566.5,9193.095262206305,11439.0,11439.0,0.0,4969.0,4969.0,0.0,22374.5,22374.5,31642.321351316816,1925.5,1925.5,2723.0682143493946,1728.5,1728.5,2444.4681425618946,0.07412330674768955,0.07412330674768955,0.10482618569052371,,,
AntennaPod_AntennaPod,6.129121006342191,6.129121006342191,5.166511167587812,9818.0,9818.0,2568.2118292695404,7.752959064796078,7.752959064796078,7.716072784390726,10799.0,10799.0,8.48528137423857,48205.5,48205.5,5057.9348058273745,36.4003655774443,36.4003655774443,38.04632287858916,6060.5,6060.5,27.577164466275352,3757.5,3757.5,2540.6346648032654,581.0,581.0,0.0,2522.5,2522.5,2.1213203435596424,10486.5,10486.5,14830.15052182546,762.5,762.5,1078.337841309485,795.0,795.0,1124.2997820866105,0.0480953394339221,0.0480953394339221,0.06801708131439017,,,
ArthurHub_Android-Image-Cropper,5.808625336927224,5.808625336927224,4.513285331131387,665.5,665.5,432.04224330498056,14.817048517520215,14.817048517520215,16.87574182566304,1070.0,1070.0,0.0,4275.0,4275.0,537.4011537017761,63.43682614555256,63.43682614555256,74.86588343222435,401.0,401.0,130.10764773832474,264.5,264.5,301.9345955666558,16.0,16.0,0.0,262.0,262.0,0.0,543.0,543.0,767.9179643685906,99.5,99.5,140.71424945612296,135.5,135.5,191.6259377015544,0.3921832884097035,0.3921832884097035,0.5546309254050817,,,
AsyncHttpClient_async-http-client,5.33780359093782,5.33780359093782,4.0067228039682545,6564.5,6564.5,2592.9605666110697,5.572469064642958,5.572469064642958,5.560473791597865,5502.0,5502.0,1.4142135623730951,26561.0,26561.0,4259.611249867762,29.04962792065673,29.04962792065673,31.14998435444145,3984.5,3984.5,1058.5388514362617,2580.0,2580.0,1534.4217151748082,239.0,239.0,0.0,807.0,807.0,0.0,5215.5,5215.5,7375.830834556878,391.5,391.5,553.6646096690667,409.0,409.0,578.4133470105959,0.0985684461676111,0.0985684461676111,0.13939683339227793,,,
AutoMQ_automq,6.308452887268321,6.308452887268321,4.411638418822458,150813.5,150813.5,90217.63289124804,6.919826216739364,6.919826216739364,7.426077401079315,112321.0,112321.0,22.627416997969522,608633.0,608633.0,85523.15097095055,40.31900162055523,40.31900162055523,45.50038545076557,101293.0,101293.0,50330.446471296076,49520.5,49520.5,39887.18641995196,7262.0,7262.0,0.0,14571.0,14571.0,16.97056274847714,158059.0,158059.0,223529.18145512903,15218.5,15218.5,21522.20909897495,15955.0,15955.0,22563.777387662733,0.067566161938868,0.067566161938868,0.09555298257144394,,,
